lat,lon,value
52.0657436,1.2488844,"30 mph"
52.064453,1.2491017,"30 mph"
52.0642367,1.2492905,"30 mph"
52.0645812,1.2502453,"30 mph"
52.0649226,1.2492648,"30 mph"
52.0650018,1.2498656,"30 mph"
52.0368926,1.0970932,"70 mph"
52.0367252,1.0971607,"70 mph"
52.0371886,1.0968925,"70 mph"
52.0360646,1.0972595,"70 mph"
52.0360646,1.0972595,"70 mph"
52.0368926,1.0970932,GB:nsl_dual
52.0367252,1.0971607,GB:nsl_dual
52.0371886,1.0968925,GB:nsl_dual
52.0360646,1.0972595,GB:nsl_dual
52.0360646,1.0972595,GB:nsl_dual
52.0358709,1.0998022,"70 mph"
52.0357038,1.0999046,"70 mph"
52.0356516,1.0999428,"70 mph"
52.0355576,1.1000188,"70 mph"
52.0353765,1.1002521,"70 mph"
52.036041,1.0997582,"70 mph"
52.0354745,1.1001191,"70 mph"
52.0358709,1.0998022,GB:nsl_dual
52.0357038,1.0999046,GB:nsl_dual
52.0356516,1.0999428,GB:nsl_dual
52.0355576,1.1000188,GB:nsl_dual
52.0353765,1.1002521,GB:nsl_dual
